ID,Review_Date,Author_Name,Vehicle_Title,Review_Title,Rating,Marque
0,05/08/2018,Gary,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Still  a lot the improvement to be done. Overprice,2,Alfa-Romeo
1,30/06/2018,Roxy,2018 Alfa Romeo Stelvio SUV Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A),Perfect SUV,5,Alfa-Romeo
2,26/06/2018,steve engles,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),This is THE SUV to drive!,5,Alfa-Romeo
3,25/06/2018,Alexis,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Amazing bang for the buck!,5,Alfa-Romeo
4,24/06/2018,Ann Ky,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Best Engine and Handling SUV,5,Alfa-Romeo
5,22/06/2018,Otis patterson,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),My alfa stelvio review!,4,Alfa-Romeo
6,30/05/2018,Lars Anderson,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Italalian Uniqueness,5,Alfa-Romeo
7,30/05/2018,Matt Barry,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),"The Good, The Bad and the Ugly",4,Alfa-Romeo
8,15/05/2018,Murtaza Hussaini,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),New Alfa owner.,5,Alfa-Romeo
9,02/05/2018,Joe M,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Alfa Stelvio all the way to go,5,Alfa-Romeo
10,28/04/2018,Lloyd,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Alfa is here to stay-a blast to drive,5,Alfa-Romeo
11,18/04/2018,stephen smith,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),sports car suv,4,Alfa-Romeo
12,29/03/2018,k2002,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),You should indulge in Alfa,5,Alfa-Romeo
13,29/03/2018,Loves2drive,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Great drive’s SUV,5,Alfa-Romeo
14,22/03/2018,RR,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Stelvio Bellisimo...,5,Alfa-Romeo
15,08/03/2018,LeeF,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),a driver's compact SUV,4,Alfa-Romeo
16,06/03/2018,Nathan K.,2018 Alfa Romeo Stelvio SUV Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),The SUV that zings!,5,Alfa-Romeo
17,05/03/2018,Dave,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),Performance minded,5,Alfa-Romeo
18,27/02/2018,Domenico,2018 Alfa Romeo Stelvio SUV Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),"Love the Car, but there something you must know",4,Alfa-Romeo
19,07/02/2018,Morgan,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Fast if you are into that type of thing,5,Alfa-Romeo
20,18/01/2018,Mancookey,2018 Alfa Romeo Stelvio SUV Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),There better out there!!!,3,Alfa-Romeo
21,06/12/2017,Woody,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),Passionate SUV/CUV - One drive is all it takes!,5,Alfa-Romeo
22,22/10/2017,howie15704,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),Love It,5,Alfa-Romeo
23,14/10/2017,TX Stelvio Owner,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Don't believe some of the so-called expert reviews,5,Alfa-Romeo
24,11/10/2017,Kru patel,2018 Alfa Romeo Stelvio SUV Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),Best in it’s class!!,5,Alfa-Romeo
25,30/09/2017,H. Meltzer,2018 Alfa Romeo Stelvio SUV 4dr SUV AWD (2.0L 4cyl Turbo 8A),The New Stelvio,5,Alfa-Romeo
26,29/12/2017,HOBIE,2015 Alfa Romeo 4C Coupe Spider 2dr Coupe (1.7L 4cyl Turbo 6AM),ONLY EXOTIC FOR EVERYMAN,5,Alfa-Romeo
27,16/04/2016,Phil Berry,2015 Alfa Romeo 4C Coupe 2dr Coupe (1.7L 4cyl Turbo 6AM),Alfa Lovers Only,5,Alfa-Romeo
28,17/03/2016,bob,2015 Alfa Romeo 4C Coupe 2dr Coupe (1.7L 4cyl Turbo 6AM),"If you like 80's exotics, this car is for you.",4,Alfa-Romeo
29,16/03/2016,4C4ME,2015 Alfa Romeo 4C Coupe Launch Edition 2dr Coupe (1.7L 4cyl Turbo 6AM),Most fun car I have ever owned,5,Alfa-Romeo
30,20/01/2016,bruinnut,2015 Alfa Romeo 4C Coupe Launch Edition 2dr Coupe (1.7L 4cyl Turbo 6AM),A true exotic that you need to drive to believe,5,Alfa-Romeo
31,29/06/2018,Phil Baffa,2018 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),Ciao Bella!,5,Alfa-Romeo
32,13/07/2018,Davey,2018 Alfa Romeo Giulia Sedan Ti Lusso 4dr Sedan (2.0L 4cyl Turbo 8A),"No problems, drives amazing, looks great",5,Alfa-Romeo
33,03/07/2018,Jack,2018 Alfa Romeo Giulia Sedan Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Love this car!,4,Alfa-Romeo
34,25/05/2018,RT Jackson,2018 Alfa Romeo Giulia Sedan Sport 4dr Sedan (2.0L 4cyl Turbo 8A),Giulia Sport,5,Alfa-Romeo
35,13/05/2018,"Bummer, Dude",2018 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),Might As Well Be a Coupe,3,Alfa-Romeo
36,17/04/2018,AlfaForever,2018 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Best Kept Secret,5,Alfa-Romeo
37,26/03/2018,AlfaOut,2018 Alfa Romeo Giulia Sedan Ti Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"The Good, the Bad, the Alfa",3,Alfa-Romeo
38,26/01/2018,Maupiti,2018 Alfa Romeo Giulia Sedan Ti Sport 4dr Sedan (2.0L 4cyl Turbo 8A),Amazing vehicle,5,Alfa-Romeo
39,25/01/2018,SJMST,2018 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Review by Actual Owner,5,Alfa-Romeo
40,22/01/2018,Al Papp,2018 Alfa Romeo Giulia Sedan Ti Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Don’t blink,3,Alfa-Romeo
41,13/01/2018,M Pechette,2018 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Not ready to give it a chance,4,Alfa-Romeo
42,01/07/2018,QVORBUST,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),Unbelievable Car,5,Alfa-Romeo
43,01/06/2018,m3g60,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),M3 owner for a long long time!!,5,Alfa-Romeo
44,23/12/2017,Giulia Quad,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),Great Car QUAD rocks!,5,Alfa-Romeo
45,12/12/2017,Mark,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),Litte Italian sweet heart,5,Alfa-Romeo
46,22/10/2017,A,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),CAR WITH excellent perfomance   and comfort,5,Alfa-Romeo
47,30/09/2017,Steve Meeks,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),A wolf in sheeps clothing,5,Alfa-Romeo
48,06/04/2017,jb7227,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),Something special!,5,Alfa-Romeo
49,04/04/2017,Bill Nelson,2017 Alfa Romeo Giulia Quadrifoglio Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),Alfa Quad is almost practical,5,Alfa-Romeo
50,24/07/2018,Dr. K,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Run as far away as you can,1,Alfa-Romeo
51,11/07/2018,Greg Dwyer,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"Sexy, Spoty, and Moments of WTF",5,Alfa-Romeo
52,28/06/2018,Joshis,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Dangerously moves to neutral gear while in drive.,1,Alfa-Romeo
53,09/06/2018,RB,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Beware!,3,Alfa-Romeo
54,02/05/2018,Juliet Chayat,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Great drive but brakes failed,2,Alfa-Romeo
55,18/04/2018,Gregory J,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),NOT A Mercedes or BMW- Drives like an Italian,5,Alfa-Romeo
56,22/03/2018,MB,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),BEST KEPT SECRET,5,Alfa-Romeo
57,13/02/2018,Lou Nigro,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Via Italiano,4,Alfa-Romeo
58,11/01/2018,Craig,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),A reason for the COTY from Car & Driver,5,Alfa-Romeo
59,10/01/2018,sdds,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Best 4 door sports sedan at pricerange,5,Alfa-Romeo
60,07/12/2017,Gneo Pompeo,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),Best car I've ever owned,5,Alfa-Romeo
61,01/12/2017,Veloce,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Excellent choice,5,Alfa-Romeo
62,29/11/2017,Alev,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Be careful,3,Alfa-Romeo
63,22/11/2017,disappointedOwner,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Worst quality and warranty ever,1,Alfa-Romeo
64,17/10/2017,centurian65@hotmail.com,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Stranded,1,Alfa-Romeo
65,04/10/2017,Gary,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),Most enjoyable to drive,5,Alfa-Romeo
66,17/09/2017,Stu,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Gorgeous Car,5,Alfa-Romeo
67,31/08/2017,Pdean,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),Fastest car ever.beats old c43  and c class mbz,5,Alfa-Romeo
68,02/08/2017,Cordog,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),Good but not great - Won't recommend to a friend,3,Alfa-Romeo
69,01/08/2017,Mr. Auto Expert,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),A 4-door Ferrari.....for regular folks,5,Alfa-Romeo
70,11/07/2017,John S.,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),Fun to drive,5,Alfa-Romeo
71,09/07/2017,AlfaGuy,2017 Alfa Romeo Giulia Sedan 4dr Sedan AWD (2.0L 4cyl Turbo 8A),This Car is The Ultimate Panty Dropper,5,Alfa-Romeo
72,15/06/2017,Jerry Jerome,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),This car is a head turner,5,Alfa-Romeo
73,30/03/2017,s.cassell@hotmail.com,2017 Alfa Romeo Giulia Sedan 4dr Sedan (2.0L 4cyl Turbo 8A),Not the Alfa of old,5,Alfa-Romeo
74,16/03/2017,Art Haskins,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Had to buy it,5,Alfa-Romeo
75,07/03/2017,ECCalfa,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),Love it,5,Alfa-Romeo
76,07/03/2017,Jason J.,2017 Alfa Romeo Giulia Sedan Ti 4dr Sedan (2.0L 4cyl Turbo 8A),"Love the car, if the electronics only worked",2,Alfa-Romeo
0,01/03/2006,Chuck,2005 Aston Martin DB9 Convertible Volante 2dr Convertible (5.9L 12cyl 6A),Understated Performance Car,4.375,Aston-Martin
1,15/04/2005,NwEnglndRe-l-t,2005 Aston Martin DB9 Convertible Volante 2dr Convertible (5.9L 12cyl 6A),Ashton Martin for 2005,4.5,Aston-Martin
2,05/09/2008,cliff,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6M),DB9 2005,5,Aston-Martin
3,09/11/2006,T. Patrick,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),Simple fun with refinement,4.5,Aston-Martin
4,15/05/2006,antoniodelgad68,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6M),The DB9 volante is a 10,4.75,Aston-Martin
5,09/07/2005,sjc-dal,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),"Not one of the ""crowd"" anymore!",4.75,Aston-Martin
6,29/06/2005,Peter Afeiche,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),Martin ... Aston Martin,4.625,Aston-Martin
7,25/06/2005,Peter Afeiche,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),This is not a car ... it is a Dream !!,4.5,Aston-Martin
8,13/05/2005,financesniper,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),A real thrill,4.75,Aston-Martin
9,22/03/2005,jose,2005 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),great,4.75,Aston-Martin
10,13/02/2009,astonman,2008 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),World most amazing GT,4.875,Aston-Martin
11,18/01/2010,chippern73,2009 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6M),My First Luxury Sports Car,4.5,Aston-Martin
12,16/11/2008,Robb G,2006 Aston Martin DB9 Convertible Volante 2dr Convertible (5.9L 12cyl 6A),Weekend Car,3.375,Aston-Martin
13,25/03/2007,murrayr1,2006 Aston Martin DB9 Convertible Volante 2dr Convertible (5.9L 12cyl 6A),The Finest Car I've Owned,4.875,Aston-Martin
14,25/06/2011,meteoritedb9,2006 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),Prettiest Car on the Road,4.875,Aston-Martin
15,29/07/2006,Richard,2006 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),Superb long distance grand touring car,4.75,Aston-Martin
16,25/07/2006,sjg,2006 Aston Martin DB9 Coupe 2dr Coupe (5.9L 12cyl 6A),007 Heaven,4.75,Aston-Martin
17,09/06/2005,Jerome Henin,2005 Aston Martin V12 Vanquish S S 2dr Coupe (5.9L 12cyl 6A),A real car,4.25,Aston-Martin
18,17/12/2004,FRANKIE,2004 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Aston Martin Strikes Back,4.125,Aston-Martin
19,16/09/2004,Legacy,2004 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),My Aston,4.875,Aston-Martin
20,16/09/2004,nothingtertgasert,2004 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),aston martin,4.5,Aston-Martin
21,10/12/2003,KTM520,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),A Great High Preformance Car,4.625,Aston-Martin
22,10/12/2003,AutoEnthuse9128,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),One Beautifully Performing Car,4.75,Aston-Martin
23,10/12/2003,Damian Stewart,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),The Vanquish,4.75,Aston-Martin
24,10/12/2003,xdreem74,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),The absolute best!,4.875,Aston-Martin
25,10/12/2003,greach,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Vanquish: Best of the Best!,5,Aston-Martin
26,02/12/2003,Pavilion,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Joe,5,Aston-Martin
27,20/08/2003,InuYasha510,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Vanquish Rocks,5,Aston-Martin
28,20/02/2003,Dazdnconfuzed,2003 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Love this car,4.5,Aston-Martin
29,24/02/2003,Joe Bryan,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Awsome,4.875,Aston-Martin
30,12/02/2003,bobmaxx,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Only good for movies not working well,1.375,Aston-Martin
31,26/11/2002,Marlon,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Always Broke,2.75,Aston-Martin
32,25/11/2002,tony r.,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),great best yet!,5,Aston-Martin
33,08/11/2002,bobs mom,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),Bobs review,5,Aston-Martin
34,13/10/2002,Isaac,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),V12,5,Aston-Martin
35,13/10/2002,isaac,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),V12,5,Aston-Martin
36,31/07/2002,Meric,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),More like Vanish,5,Aston-Martin
37,08/05/2002,kaseyllynn,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),vanquish...,5,Aston-Martin
38,02/05/2002,Donald Fann,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),greg,5,Aston-Martin
39,17/04/2002,brando hilderbrand,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),good car,5,Aston-Martin
40,27/03/2002,Mike Cavalier,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),The Car,5,Aston-Martin
41,12/03/2002,kpd33184,2002 Aston Martin V12 Vanquish Coupe 2dr Coupe (5.9L 12cyl 6A),super car,4.875,Aston-Martin
42,17/01/2009,DB,2006 Aston Martin V12 Vanquish Coupe S 2dr Coupe (5.9L 12cyl 6AM),All around Vanquisher,4.75,Aston-Martin
43,18/08/2006,steve mann,2006 Aston Martin V12 Vanquish Coupe S 2dr Coupe (5.9L 12cyl 6AM),Vanquish,5,Aston-Martin
44,04/10/2003,jilldell,2003 Aston Martin DB7 Convertible Vantage Volante 2dr Convertible (5.9L 12cyl 6M),Love it,5,Aston-Martin
45,10/12/2003,Todgrick,2003 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),My Baby Car,4.25,Aston-Martin
46,18/11/2003,Brit.,2003 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),The very best.,5,Aston-Martin
47,27/04/2003,Mr. B,2002 Aston Martin DB7 Convertible Vantage Volante 2dr Convertible (5.9L 12cyl 6M),Good Stuff All Around,4.375,Aston-Martin
48,29/09/2002,AstonThree,2002 Aston Martin DB7 Convertible Vantage Volante 2dr Convertible (5.9L 12cyl 6M),Third one,4.75,Aston-Martin
49,15/03/2002,Noah,2002 Aston Martin DB7 Convertible Vantage Volante 2dr Convertible (5.9L 12cyl 6M),My beautiful Aston Martin,4.625,Aston-Martin
50,01/12/2002,Simon Guntherd,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),Great,4.875,Aston-Martin
51,26/11/2002,Hoss Boss,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),The Greatest,5,Aston-Martin
52,16/11/2002,8,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),Aston DB 7 Vantage Coupe,4.625,Aston-Martin
53,26/10/2002,Symonte,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),DB 7 Vantage Coupe,4.625,Aston-Martin
54,22/10/2002,T.Glick,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),My New Aston....,4.875,Aston-Martin
55,01/07/2002,The Pat Master,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),One summer day,2.875,Aston-Martin
56,03/03/2002,AstonFan,2002 Aston Martin DB7 Coupe Vantage 2dr Coupe (5.9L 12cyl 6M),Test Drive,1.625,Aston-Martin
57,03/02/2016,Mike Tierney,2012 Aston Martin Rapide Sedan 4dr Sedan (5.9L 12cyl 6A),The best proportions of any car since XKE,5,Aston-Martin
58,22/07/2008,Joe64,2008 Aston Martin DBS Coupe 2dr Coupe (5.9L 12cyl 6M),Extremely fun but rather expensive,4.875,Aston-Martin
59,25/10/2012,kpetree,2012 Aston Martin V8 Vantage Convertible Roadster 2dr Convertible (4.7L 8cyl 7AM),A sports car you can use everyday!,4.25,Aston-Martin
